Libros no cargados en ejemplares

'201', '0', 'La multitud errante', NULL, NULL, 'Colombia', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'202', '0', 'Delirio', NULL, NULL, 'Colombia', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'203', '0', 'La isla de la pasión', NULL, NULL, 'Colombia', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'204', '0', 'Dulce compañía', NULL, NULL, 'Colombia', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'205', '0', 'El Moro', NULL, NULL, 'Colombia', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'206', '0', 'Tres tristes tigres', NULL, NULL, 'Cuba', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'207', '0', 'La Habana para un infante difunto', NULL, NULL, 'Cuba', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'208', '0', 'Noticia de un convento frente al mar', NULL, NULL, 'Colombia', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'209', '0', 'La elipse de la codorniz', NULL, NULL, 'Colombia', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'210', '0', 'La ultima mudanza de Felipe Carrillo', NULL, NULL, 'Perú', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'211', '0', 'Elogio a la madrastra', NULL, NULL, 'Perú', 'Primera', '9582700009', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'212', '0', 'la ciudad y los perros', NULL, NULL, 'Perú', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'214', '0', 'La guerra del fin del mundo', NULL, NULL, 'Perú', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'215', '0', 'Conversaciones en la catedral', NULL, NULL, 'Perú', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'216', '0', 'Historia de Mayta', NULL, NULL, 'Perú', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'217', '0', 'La casa de las dos palmas', NULL, NULL, 'Colombia', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'218', '0', 'El bosque de los pigmeos', NULL, NULL, 'Chile', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'219', '0', 'De amor y de sombra', NULL, NULL, 'Chile', 'Primera', 'Sin especificar', '9789802936311', NULL, NULL, NULL, NULL, NULL, NULL
'220', '0', 'La hija de la fortuna', NULL, NULL, 'Chile', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'221', '0', 'El Aleph', NULL, NULL, 'Brasil', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'222', '0', 'el Zahir', NULL, NULL, 'Brasil', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'223', '0', 'Maktub', NULL, NULL, 'Brasil', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'224', '0', 'Once Minutos', NULL, NULL, 'Brasil', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'225', '0', 'El demonio y la señorita Prym', NULL, NULL, 'Brasil', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'227', '0', 'Ilona llega con la lluvia', NULL, NULL, 'Colombia', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'231', '0', 'Los informantes', NULL, NULL, 'Colombia', 'Sin especificar', 'Sin especificar', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'304', '0', 'La colmena', NULL, NULL, 'España', 'Primera', '8402067093', 'Sin especificar', NULL, NULL, NULL, NULL, NULL, NULL
'399', '0', 'Malinche', NULL, NULL, 'México', '2006', '9587043987', '9789587043983', NULL, NULL, NULL, NULL, NULL, NULL
