"id_product","active","reference","price","name","description_short","categoria","name","caracteristica1"
"9","1",,"25000.000000","Probabilidad & Estadística. Conceptos, Modelos ,Aplicaciones en Excel",,"Matemáticas Universitarias","Edicion","''"
"9","1",,"25000.000000","Probabilidad & Estadística. Conceptos, Modelos ,Aplicaciones en Excel",,"Matemáticas Universitarias","Autor","'Paulo Afonso Lopes'"
"9","1",,"25000.000000","Probabilidad & Estadística. Conceptos, Modelos ,Aplicaciones en Excel",,"Matemáticas Universitarias","Pais","'Colombia'"
"9","1",,"25000.000000","Probabilidad & Estadística. Conceptos, Modelos ,Aplicaciones en Excel",,"Matemáticas Universitarias","Genero","'Académico"
"9","1",,"25000.000000","Probabilidad & Estadística. Conceptos, Modelos ,Aplicaciones en Excel",,"Matemáticas Universitarias","Estado","'Bueno (con algunas marcas y maltrato natural)'"
"9","1",,"25000.000000","Probabilidad & Estadística. Conceptos, Modelos ,Aplicaciones en Excel",,"Matemáticas Universitarias","Propietario Anterior","''"
"9","1",,"25000.000000","Probabilidad & Estadística. Conceptos, Modelos ,Aplicaciones en Excel",,"Matemáticas Universitarias","Transaccion","''"
"10","1",,"15000.000000","Ingeniería del Software. Un enfoque práctico",,"Tecnología e Informática","ISBN10","'8448132149'"
"10","1",,"15000.000000","Ingeniería del Software. Un enfoque práctico",,"Tecnología e Informática","ISBN13","'SIN IDENTIFICAR'"
"10","1",,"15000.000000","Ingeniería del Software. Un enfoque práctico",,"Tecnología e Informática","Editorial","'Mc Graw Hill'"
"10","1",,"15000.000000","Ingeniería del Software. Un enfoque práctico",,"Tecnología e Informática","Edicion","'5'"
"10","1",,"15000.000000","Ingeniería del Software. Un enfoque práctico",,"Tecnología e Informática","Autor","'Roger S. Pressman'"
"10","1",,"15000.000000","Ingeniería del Software. Un enfoque práctico",,"Tecnología e Informática","Pais","'España'"
"10","1",,"15000.000000","Ingeniería del Software. Un enfoque práctico",,"Tecnología e Informática","Genero","'Académico"
"10","1",,"15000.000000","Ingeniería del Software. Un enfoque práctico",,"Tecnología e Informática","Estado","'Bueno (con algunas marcas y maltrato natural)'"
"10","1",,"15000.000000","Ingeniería del Software. Un enfoque práctico",,"Tecnología e Informática","Propietario Anterior","''"
"10","1",,"15000.000000","Ingeniería del Software. Un enfoque práctico",,"Tecnología e Informática","Transaccion","''"
"11","1",,"15000.000000","Hágase Rico por internet",,"Metodología","ISBN10","'SIN IDENTIFICAR'"
"11","1",,"15000.000000","Hágase Rico por internet",,"Metodología","ISBN13","'9789587570793'"
"11","1",,"15000.000000","Hágase Rico por internet",,"Metodología","Editorial","'Intermedio Editores Ltda.'"
"11","1",,"15000.000000","Hágase Rico por internet",,"Metodología","Edicion","''"
"11","1",,"15000.000000","Hágase Rico por internet",,"Metodología","Autor","'Sebastián Saldarriaga'"
"11","1",,"15000.000000","Hágase Rico por internet",,"Metodología","Pais","'Colombia'"
"11","1",,"15000.000000","Hágase Rico por internet",,"Metodología","Genero","'Tecnología e Informática'"
"11","1",,"15000.000000","Hágase Rico por internet",,"Metodología","Estado","Bueno - Subrayado"
"11","1",,"15000.000000","Hágase Rico por internet",,"Metodología","Propietario Anterior","''"
"11","1",,"15000.000000","Hágase Rico por internet",,"Metodología","Transaccion","''"
"12","1",,"20000.000000","Dirección de Excelencia. El reto del tercer milenio",,"Gerencia y liderazgo","ISBN10","'9686210113'"
"12","1",,"20000.000000","Dirección de Excelencia. El reto del tercer milenio",,"Gerencia y liderazgo","ISBN13","'SIN IDENTIFICAR'"
"12","1",,"20000.000000","Dirección de Excelencia. El reto del tercer milenio",,"Gerencia y liderazgo","Editorial","'Editorial Grad'"
"12","1",,"20000.000000","Dirección de Excelencia. El reto del tercer milenio",,"Gerencia y liderazgo","Edicion","'4'"
"12","1",,"20000.000000","Dirección de Excelencia. El reto del tercer milenio",,"Gerencia y liderazgo","Autor","'Miguel Angel Cornejo'"
"12","1",,"20000.000000","Dirección de Excelencia. El reto del tercer milenio",,"Gerencia y liderazgo","Pais","'México'"
"12","1",,"20000.000000","Dirección de Excelencia. El reto del tercer milenio",,"Gerencia y liderazgo","Genero","'Ciencias Aplicadas"
"12","1",,"20000.000000","Dirección de Excelencia. El reto del tercer milenio",,"Gerencia y liderazgo","Estado","'Bueno (con algunas marcas y maltrato natural)'"
"12","1",,"20000.000000","Dirección de Excelencia. El reto del tercer milenio",,"Gerencia y liderazgo","Propietario Anterior","''"
"12","1",,"20000.000000","Dirección de Excelencia. El reto del tercer milenio",,"Gerencia y liderazgo","Transaccion","''"
"13","1",,"17000.000000","Gran ética",,"Filosofía","ISBN10","'8472915808'"
"13","1",,"17000.000000","Gran ética",,"Filosofía","ISBN13","'SIN IDENTIFICAR'"
"13","1",,"17000.000000","Gran ética",,"Filosofía","Editorial","'Sarpe'"
"13","1",,"17000.000000","Gran ética",,"Filosofía","Edicion","''"
"13","1",,"17000.000000","Gran ética",,"Filosofía","Autor","'Aristóteles'"
"13","1",,"17000.000000","Gran ética",,"Filosofía","Pais","'España'"
"13","1",,"17000.000000","Gran ética",,"Filosofía","Genero","'Filosofía'"
"13","1",,"17000.000000","Gran ética",,"Filosofía","Estado","'Muy bueno'"
"13","1",,"17000.000000","Gran ética",,"Filosofía","Propietario Anterior","''"
"13","1",,"17000.000000","Gran ética",,"Filosofía","Transaccion","''"
"14","1",,"17000.000000","De los principios de la naturaleza",,"Filosofía","ISBN10","'8472915743'"
"14","1",,"17000.000000","De los principios de la naturaleza",,"Filosofía","ISBN13","'SIN IDENTIFICAR'"
"14","1",,"17000.000000","De los principios de la naturaleza",,"Filosofía","Editorial","'Sarpe'"
"14","1",,"17000.000000","De los principios de la naturaleza",,"Filosofía","Edicion","''"
"14","1",,"17000.000000","De los principios de la naturaleza",,"Filosofía","Autor","'Santo Tomás'"
"14","1",,"17000.000000","De los principios de la naturaleza",,"Filosofía","Pais","'España'"
"14","1",,"17000.000000","De los principios de la naturaleza",,"Filosofía","Genero","'Filosofía'"
"14","1",,"17000.000000","De los principios de la naturaleza",,"Filosofía","Estado","'Muy bueno'"
"14","1",,"17000.000000","De los principios de la naturaleza",,"Filosofía","Propietario Anterior","''"
"14","1",,"17000.000000","De los principios de la naturaleza",,"Filosofía","Transaccion","''"
"15","1",,"17000.000000","Discurso del método",,"Filosofía","ISBN10","'8472915816'"
"15","1",,"17000.000000","Discurso del método",,"Filosofía","ISBN13","'SIN IDENTIFICAR'"
"15","1",,"17000.000000","Discurso del método",,"Filosofía","Editorial","'Sarpe'"
"15","1",,"17000.000000","Discurso del método",,"Filosofía","Edicion","''"
"15","1",,"17000.000000","Discurso del método",,"Filosofía","Autor","'René Descartes'"
"15","1",,"17000.000000","Discurso del método",,"Filosofía","Pais","'España'"
"15","1",,"17000.000000","Discurso del método",,"Filosofía","Genero","'Filosofía'"
"15","1",,"17000.000000","Discurso del método",,"Filosofía","Estado","'Muy bueno'"
"15","1",,"17000.000000","Discurso del método",,"Filosofía","Propietario Anterior","''"
"15","1",,"17000.000000","Discurso del método",,"Filosofía","Transaccion","''"
"16","1",,"17000.000000","El banquete Fredo",,"Filosofía","ISBN10","'8459905667'"
"16","1",,"17000.000000","El banquete Fredo",,"Filosofía","ISBN13","'SIN IDENTIFICAR'"
"16","1",,"17000.000000","El banquete Fredo",,"Filosofía","Editorial","'Sarpe'"
"16","1",,"17000.000000","El banquete Fredo",,"Filosofía","Edicion","''"
"16","1",,"17000.000000","El banquete Fredo",,"Filosofía","Autor","'Platón'"
"16","1",,"17000.000000","El banquete Fredo",,"Filosofía","Pais","'España'"
"16","1",,"17000.000000","El banquete Fredo",,"Filosofía","Genero","'Filosofía'"
"16","1",,"17000.000000","El banquete Fredo",,"Filosofía","Estado","'Muy bueno'"
"16","1",,"17000.000000","El banquete Fredo",,"Filosofía","Propietario Anterior","''"
"16","1",,"17000.000000","El banquete Fredo",,"Filosofía","Transaccion","''"
"17","1",,"7000.000000","Lenguaje y Saberes Infantiles",,"Pedagogía","ISBN10","'SIN IDENTIFICAR'"
"17","1",,"7000.000000","Lenguaje y Saberes Infantiles",,"Pedagogía","ISBN13","'9789588247991'"
"17","1",,"7000.000000","Lenguaje y Saberes Infantiles",,"Pedagogía","Editorial","'Net Educativa'"
"17","1",,"7000.000000","Lenguaje y Saberes Infantiles",,"Pedagogía","Edicion","''"
"17","1",,"7000.000000","Lenguaje y Saberes Infantiles",,"Pedagogía","Autor","'Flor Alba Santamaría V. Martha Helena Barreto R.'"
"17","1",,"7000.000000","Lenguaje y Saberes Infantiles",,"Pedagogía","Pais","'Colombia'"
"17","1",,"7000.000000","Lenguaje y Saberes Infantiles",,"Pedagogía","Genero","'Pedagogía"
"17","1",,"7000.000000","Lenguaje y Saberes Infantiles",,"Pedagogía","Estado","'Muy bueno'"
"17","1",,"7000.000000","Lenguaje y Saberes Infantiles",,"Pedagogía","Propietario Anterior","'Sebastian Calderón'"
"17","1",,"7000.000000","Lenguaje y Saberes Infantiles",,"Pedagogía","Transaccion","'Cambio'"
"18","1",,"18000.000000","La Divina Comedia",,"Novela","ISBN10","'SIN IDENTIFICAR'"
"18","1",,"18000.000000","La Divina Comedia",,"Novela","ISBN13","'9789583000768'"
"18","1",,"18000.000000","La Divina Comedia",,"Novela","Editorial","'Panamericana Editorial'"
"18","1",,"18000.000000","La Divina Comedia",,"Novela","Edicion","'11'"
"18","1",,"18000.000000","La Divina Comedia",,"Novela","Autor","'Dante Alighieri'"
"18","1",,"18000.000000","La Divina Comedia",,"Novela","Pais","'Colombia'"
"18","1",,"18000.000000","La Divina Comedia",,"Novela","Genero","'Literatura"
"18","1",,"18000.000000","La Divina Comedia",,"Novela","Estado","'Muy bueno'"
"18","1",,"18000.000000","La Divina Comedia",,"Novela","Propietario Anterior","'Sebastian Calderón'"
"18","1",,"18000.000000","La Divina Comedia",,"Novela","Transaccion","'Cambio'"
"19","1",,"10000.000000","De Sobremesa",,"Literatura Latinoamericana","ISBN10","'9581801308'"
"19","1",,"10000.000000","De Sobremesa",,"Literatura Latinoamericana","ISBN13","'SIN IDENTIFICAR'"
"19","1",,"10000.000000","De Sobremesa",,"Literatura Latinoamericana","Editorial","'Imprenta Nacional de Colombia'"
"19","1",,"10000.000000","De Sobremesa",,"Literatura Latinoamericana","Edicion","''"
"19","1",,"10000.000000","De Sobremesa",,"Literatura Latinoamericana","Autor","'José Asunción Silva'"
"19","1",,"10000.000000","De Sobremesa",,"Literatura Latinoamericana","Pais","'Colombia'"
"19","1",,"10000.000000","De Sobremesa",,"Literatura Latinoamericana","Genero","'Literatura Latinoamericana'"
"19","1",,"10000.000000","De Sobremesa",,"Literatura Latinoamericana","Estado","'Bueno (con algunas marcas y maltrato natural)'"
"19","1",,"10000.000000","De Sobremesa",,"Literatura Latinoamericana","Propietario Anterior","'Sebastian Calderón'"
"19","1",,"10000.000000","De Sobremesa",,"Literatura Latinoamericana","Transaccion","'Cambio'"
"20","1",,"12000.000000","La hojarasca",,"Literatura Latinoamericana","ISBN10","'SIN IDENTIFICAR'"
"20","1",,"12000.000000","La hojarasca",,"Literatura Latinoamericana","ISBN13","'9789588886220'"
"20","1",,"12000.000000","La hojarasca",,"Literatura Latinoamericana","Editorial","'Penguin Random House Grupo Editorial'"
